DocNo,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,No,TopicNo,TopicValue,Citation,Article Title,Source title,DOI,DOI Link,Source
1,0.808917582,0.021229669,0.021236943,0.02122871,0.021228852,0.021229794,0.021239489,0.021229153,0.021229383,0.021230415,1,1,0.808917582,Monisha et al. (2023),Judd-Ofelt analysis and luminescence characteristics of Eu3+ doped Nepheline (NaAlSiO4)-based glass ceramics for solid-state lighting applications,Journal of Non-Crystalline Solids,10.1016/j.jnoncrysol.2022.121971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140330346&doi=10.1016%2fj.jnoncrysol.2022.121971&partnerID=40&md5=033776ef57ea40cade689431a0b08452,Scopus
2,0.022794474,0.022782555,0.022781521,0.022795005,0.02279713,0.794875145,0.02278957,0.022802964,0.022790063,0.0227916,2,6,0.794875145,Seskir et al. (2022),The landscape of the quantum start-up ecosystem,EPJ Quantum Technology,10.1140/epjqt/s40507-022-00146-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140618646&doi=10.1140%2fepjqt%2fs40507-022-00146-x&partnerID=40&md5=674b162a227c6b296489c852c29d78c4,Scopus
3,0.020052359,0.819513857,0.020053517,0.020052038,0.020052686,0.020056369,0.020053776,0.020053629,0.020053931,0.02005785,3,2,0.819513857,Pompili et al. (2022),Experimental demonstration of entanglement delivery using a quantum network stack,npj Quantum Information,10.1038/s41534-022-00631-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139905028&doi=10.1038%2fs41534-022-00631-2&partnerID=40&md5=b100c00d25930b4acbee240928bc05d2,Scopus
4,0.020254644,0.020260176,0.020255497,0.020259121,0.81769228,0.020256625,0.020255446,0.020256778,0.020253291,0.020256123,4,5,0.81769228,Kuang & Perepechaenko (2022),Quantum encryption with quantum permutation pad in IBMQ systems,EPJ Quantum Technology,10.1140/epjqt/s40507-022-00145-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139781732&doi=10.1140%2fepjqt%2fs40507-022-00145-y&partnerID=40&md5=a0513315528229cc0f29c1c5fe6fc01d,Scopus
5,0.022192448,0.022190761,0.022183727,0.022184495,0.022183655,0.022179846,0.800331831,0.022195302,0.022176467,0.02218147,5,7,0.800331831,Taheri-Garavand et al. (2022),Application of artificial neural networks for the prediction of performance and exhaust emissions in IC engine using biodiesel-diesel blends containing quantum dot based on carbon doped,Energy Conversion and Management: X,10.1016/j.ecmx.2022.100304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139316456&doi=10.1016%2fj.ecmx.2022.100304&partnerID=40&md5=7d55e329362fe2a129cfd75b58bc4cf3,Scopus
6,0.018556042,0.018564846,0.018554118,0.018551938,0.018551385,0.833001256,0.018556409,0.018556787,0.018550705,0.018556492,6,6,0.833001256,Dhinesh & (2022),"Shift to 6G: Exploration on trends, vision, requirements, technologies, research, and standardization efforts",Sustainable Energy Technologies and Assessments,10.1016/j.seta.2022.102666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139281439&doi=10.1016%2fj.seta.2022.102666&partnerID=40&md5=0a10b939d4cd5a4366f417afd323eb48,Scopus
7,0.023532776,0.023536155,0.023533339,0.023532262,0.788195491,0.02353676,0.023533169,0.023533205,0.023533871,0.023532962,7,5,0.788195491,Wang et al. (2022),Experimental symmetric private information retrieval with measurement-device-independent quantum network,Light: Science and Applications,10.1038/s41377-022-00959-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138762971&doi=10.1038%2fs41377-022-00959-6&partnerID=40&md5=3c778db7c56abaf0d6ac02eaa9149754,Scopus
8,0.020825503,0.812617958,0.020824829,0.020818796,0.020825606,0.020819394,0.020815274,0.020815965,0.020818125,0.020818543,9,2,0.812617958,Bozzio et al. (2022),Enhancing quantum cryptography with quantum dot single-photon sources,npj Quantum Information,10.1038/s41534-022-00626-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137786480&doi=10.1038%2fs41534-022-00626-z&partnerID=40&md5=08c1c4ace6f53c97425fb71c21e1ba21,Scopus
9,0.020542379,0.020544276,0.020546068,0.020542955,0.815104187,0.020543735,0.020544335,0.020542534,0.020545648,0.020543905,10,5,0.815104187,Zhong et al. (2022),Multi-dimensional disturbance secure communication system with dynamic key hiding transmission based on power-domain non-orthogonal multiple access,Optics Communications,10.1016/j.optcom.2022.128734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134617838&doi=10.1016%2fj.optcom.2022.128734&partnerID=40&md5=2288c626559b21ea3fe01c4dd567f4a8,Scopus
10,0.024129419,0.024120446,0.782882571,0.024119757,0.024133915,0.024133112,0.024117373,0.024122205,0.024122564,0.024118632,11,3,0.782882571,He et al. (2022),Towards higher-dimensional structured light,Light: Science and Applications,10.1038/s41377-022-00897-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133472287&doi=10.1038%2fs41377-022-00897-3&partnerID=40&md5=bb3cbe214dd8ae83e8ba7a21df9350f9,Scopus
