No,Source,Citation,Publcation Year,Article Title,Source title,Abstract,Keywords,DOI,DOI Link,Document Type
1,Scopus,Monisha et al. (2023),2023,Judd-Ofelt analysis and luminescence characteristics of Eu3+ doped Nepheline (NaAlSiO4)-based glass ceramics for solid-state lighting applications,Journal of Non-Crystalline Solids,"The present work addresses on the optical and spectroscopic properties of glass ceramics containing a hexagonal NaAlSiO4 crystalline phase (Nepheline) and Eu3+ dopant, prepared by melt-quenching technique followed by subsequent heat treatment. The precipitation of NaAlSiO4 crystals in the glass system with increasing heating temperature was determined by XRD analysis. The existing vibrational bands such as BO3, BO4, SiO2 and O-H groups in the glass network and the increase in the amount of non-bridging oxygens with increasing heating temperature of the precursor glasses were evaluated through FTIR spectroscopy. Morphological changes in the glass surface induced with the growth of NaAlSiO4 crystals is recorded by field emission scanning electron microscopy at resolutions of 1 µm and 200 nm. The impact of heating temperature and Eu3+ ions embedded in the NaAlSiO4 crystalline phase on the optical properties was studied using absorption spectra, excitation, emission spectra, and decay curves. The glass ceramics exhibited a decrease in their bandgap energy values and an increase in their Urbach energy values with heat treatment at higher temperatures. The Judd-Ofelt (J-O) intensity parameters evaluated from the emission spectra showed the trend Ω2 &gt; Ω4. The emission bands with intense electric dipole transition 5D0→7F2, long decay lifetimes, and improved quantum efficiency of Eu3+ ions evidenced the partitioning of Eu3+ ions into the NaAlSiO4 crystalline phase. Radiative calculations from the emission spectra showed a higher stimulated emission cross-section for glass ceramics. The CIE-1931 color coordinates, correlated color temperature (CCT, K), and color purity measurements favoured red emission from Eu3+ ions with better quality. Therefore, the prepared glass ceramics can favour the need for LED applications and laser devices. © 2022 Elsevier B.V.",,10.1016/j.jnoncrysol.2022.121971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140330346&doi=10.1016%2fj.jnoncrysol.2022.121971&partnerID=40&md5=033776ef57ea40cade689431a0b08452,Article
2,Scopus,Seskir et al. (2022),2022,The landscape of the quantum start-up ecosystem,EPJ Quantum Technology,"The second quantum revolution has been producing groundbreaking scientific and technological outputs since the early 2000s; however, the scientific literature on the impact of this revolution on the industry, specifically on start-ups, is limited. In this paper, we present a landscaping study with a gathered dataset of 441 companies from 42 countries that we identify as quantum start-ups, meaning that they mainly focus on quantum technologies (QT) as their primary priority business. We answer the following questions: (1) What are the temporal and geographical distributions of the quantum start-ups? (2) How can we categorize them, and how are these categories populated? (3) Are there any patterns that we can derive from empirical data on trends? We found that more than 92% of these companies have been founded within the last 10 years, and more than 50% of them are located in the US, the UK, and Canada. We categorized the QT start-ups into six fields: (i) complementary technologies, (ii) quantum computing (hardware), (iii) quantum computing (software/application/simulation), (iv) quantum cryptography/communication, (v) quantum sensing and metrology, and (vi) supporting companies, and analyzed the population of each field both for countries, and temporally. Finally, we argue that low levels of quantum start-up activity in a country might be an indicator of a national initiative to be adopted afterwards, which later sees both an increase in the number of start-ups, and a diversification of activity in different QT fields. © 2022, The Author(s).",,10.1140/epjqt/s40507-022-00146-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140618646&doi=10.1140%2fepjqt%2fs40507-022-00146-x&partnerID=40&md5=674b162a227c6b296489c852c29d78c4,Article
3,Scopus,Pompili et al. (2022),2022,Experimental demonstration of entanglement delivery using a quantum network stack,npj Quantum Information,"Scaling current quantum communication demonstrations to a large-scale quantum network will require not only advancements in quantum hardware capabilities, but also robust control of such devices to bridge the gap in user demand. Moreover, the abstraction of tasks and services offered by the quantum network should enable platform-independent applications to be executed without the knowledge of the underlying physical implementation. Here we experimentally demonstrate, using remote solid-state quantum network nodes, a link layer, and a physical layer protocol for entanglement-based quantum networks. The link layer abstracts the physical-layer entanglement attempts into a robust, platform-independent entanglement delivery service. The system is used to run full state tomography of the delivered entangled states, as well as preparation of a remote qubit state on a server by its client. Our results mark a clear transition from physics experiments to quantum communication systems, which will enable the development and testing of components of future quantum networks. © 2022, The Author(s).",,10.1038/s41534-022-00631-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139905028&doi=10.1038%2fs41534-022-00631-2&partnerID=40&md5=b100c00d25930b4acbee240928bc05d2,Article
4,Scopus,Kuang & Perepechaenko (2022),2022,Quantum encryption with quantum permutation pad in IBMQ systems,EPJ Quantum Technology,"Quantum permutation pad or QPP is a quantum-safe symmetric cryptographic algorithm proposed by Kuang and Bettenburg in 2020. The theoretical foundation of QPP leverages the linear algebraic representations of quantum gates which makes QPP realizable in both, quantum and classical systems. By applying the QPP with 64 of 8-bit permutation gates, holding respective entropy of over 100,000 bits, we accomplished quantum random number distributions digitally over today’s classical internet. The QPP has also been used to create pseudo quantum random numbers and served as a foundation for quantum-safe lightweight block and streaming ciphers. This paper continues to explore numerous applications of QPP, namely, we present an implementation of QPP as a quantum encryption circuit on today’s still noisy quantum computers. With the publicly available 5-qubit IBMQ devices, we demonstrate quantum secure encryption (256 bits of entropy) using 2-qubit QPP with 56 permutation gates, and 3-qubit QPP with 17 permutation gates respectively. Initial qubits of the encryption circuit correspond to the plaintext and after applying quantum encryption operations, cipher qubits are measured with probabilistic distributions, and the results with the highest probability are recorded as cipher bits. The cipher bits are then decrypted with an inverse QPP circuit. The output state plaintext qubits are measured and the most frequent count measurement results are recorded as plaintext bits. This quantum encryption and decryption process clearly demonstrates that QPP quantum implementations works exactly as symmetric encryption and decryption schemes should. The plaintext and ciphertext bits can also be encrypted and decrypted respectively by any classical computing device with the corresponding QPP algorithm as in quantum computers. This work reveals that it is possible to build quantum-secure communications between quantum-to-quantum and quantum-to-classical computers over today’s internet and the future quantum internet. © 2022, The Author(s).",,10.1140/epjqt/s40507-022-00145-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139781732&doi=10.1140%2fepjqt%2fs40507-022-00145-y&partnerID=40&md5=a0513315528229cc0f29c1c5fe6fc01d,Article
5,Scopus,Taheri-Garavand et al. (2022),2022,Application of artificial neural networks for the prediction of performance and exhaust emissions in IC engine using biodiesel-diesel blends containing quantum dot based on carbon doped,Energy Conversion and Management: X,"The application of the fossil diesel in engines is detrimental to the humans as they pollute the environment. Currently, all-embracing research is in progression to discover an alternative fuel and improve its quality. The nanoparticles are one of the current technologies that is beneficial for upgrading the fuel properties. Among nanoparticles, GQD stands out and offers a plethora of technical advantages for future uses as an additive to reduce emission profiles. The suitability of newly created additives, such as GQD, to improve the characteristics of IC engines driven by alternative fuels was highlighted. GQD, as a novel and intriguing zero-dimensional material of the carbon family, has been actively researched in order to generate inexpensive and environmentally friendly materials. There is a dearth of orderly investigations ANN generated modeling of diesel engine's efficacy of IC engines fueled with ternary blends of GQD, waste fish oil biodiesel (WOFB), and diesel fuel in the existing works. The correlation between engine speed (1800, 2100, and 2400 rpm), GQD+ethanol blend (2-8 vol. conc.), and WFOB and diesel fuel mixture and engine performance indicators (power, torque, braking specific fuel consumption) and emission characteristics (CO, CO2, UHC, NOx) was modelled using ANN. Finally, the results showed that adding GQD+E to 10%WOFB increases braking power and engine torque, with B10 + E6 + GQD45 fuel having the maximum brake power and engine torque. The average difference in braking power and engine torque between the B10 + E6 + GQD45 gasoline and the D100 is 13.84% and 16.95%, respectively. Adding GQD+E to 10% WOFB also lowered BSFC, UHC, CO, and NO emissions, with B10 + E6 + GQD45 fuel having the lowest UHC and CO emissions.In comparison to D100, UHC, CO, and CO2 dropped by 21.70, 24.67, and 26.38%, respectively. As a result, adding GQD+E to 10% WOFB increases engine performance while lowering emissions. Also, the results for ANN showed that, both Pearson's correlation coefficient (0.96, 0.71, 0.95, 0.92, 0.84 and 0.91 for CO2, NO, UHC, BSFC, brake power and engine torque, respectively) and RMSE (0.0295, 0.0227, 1.6545, 1.5046, 11.2515, 0.1557 and 0.3913 for CO2, NO, UHC, BSFC, brake power and engine torque respectively) for either parameter traits show the efficacy of ANN as observed from the predicted values being close to the experimental values. © 2022 The Authors",,10.1016/j.ecmx.2022.100304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139316456&doi=10.1016%2fj.ecmx.2022.100304&partnerID=40&md5=7d55e329362fe2a129cfd75b58bc4cf3,Article
6,Scopus,Dhinesh & (2022),2022,"Shift to 6G: Exploration on trends, vision, requirements, technologies, research, and standardization efforts",Sustainable Energy Technologies and Assessments,"Recent technological breakthroughs and significant expansion in the number of Internet-of-Things (IoT) devices, a new paradigm of unparalleled user experiences, dramatically improved a host of innovative applications, and the emergence of various use cases has begun. To achieve this, a much better adaptable communication network architecture is required, one that is exceptionally intelligent and capable of providing hyper-fast, ultra-reliable, and low-latency communications. These needs of the next-generation wireless communication systems are expected to be met by sixth-generation (6G) communication technologies. The standardization process for fifth-generation is now complete, and the worldwide installation has begun. To keep cellular networks competitive, a collaboration between industry and academics has already commenced in designing the next phase called “6G” in communication networks. It provides the groundwork for layering the communication demands arising in the 2030s. 6G perception, services, technology, and standardization are all hot topics in academics and industries. In pursuit of this ambition, this paper outlines the most prospective avenues of 6G research from current literature. In this investigation, the paper highly focuses on state-of-art driving factors and technological developments propelling the 6G revolution. In this study, emerging applications and requirements are also discussed in depth. Then, to provide a perspective on the global aspect of 6G development, the frameworks for existing and ongoing research projects and activities, including standardization efforts, are reviewed. Finally, specific issues have been incorporated to give new insight into future development approaches towards 6G based on developing demands in the coming years. © 2022 Elsevier Ltd",,10.1016/j.seta.2022.102666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139281439&doi=10.1016%2fj.seta.2022.102666&partnerID=40&md5=0a10b939d4cd5a4366f417afd323eb48,Article
7,Scopus,Wang et al. (2022),2022,Experimental symmetric private information retrieval with measurement-device-independent quantum network,Light: Science and Applications,"Secure information retrieval is an essential task in today’s highly digitised society. In some applications, it may be necessary that user query’s privacy and database content’s security are enforced. For these settings, symmetric private information retrieval (SPIR) could be employed, but its implementation is known to be demanding, requiring a private key-exchange network as the base layer. Here, we report for the first time a realisation of provably-secure SPIR supported by a quantum-secure key-exchange network. The SPIR scheme looks at biometric security, offering secure retrieval of 582-byte fingerprint files from a database with 800 entries. Our experimental results clearly demonstrate the feasibility of SPIR with quantum secure communications, thereby opening up new possibilities in secure distributed data storage and cloud computing over the future Quantum Internet. © 2022, The Author(s).",,10.1038/s41377-022-00959-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138762971&doi=10.1038%2fs41377-022-00959-6&partnerID=40&md5=3c778db7c56abaf0d6ac02eaa9149754,Article
8,Scopus,Trinh et al. (2022),2022,Statistical verifications and deep-learning predictions for satellite-to-ground quantum atmospheric channels,Communications Physics,"Laser communications from small satellite platforms empowers the establishment of quantum key distribution (QKD), relying on quantum superposition states of single photons to realize unconditional security between distant parties at a global scale. Although recent breakthrough experiments have demonstrated the feasibility of satellite-to-ground QKD links, the underlying statistical characteristics of quantum atmospheric channels have not been well-understood and experimentally verified in the literature. In this paper, we highlight that classical atmospheric statistical models can be applied for describing random fluctuations of the quantum channels. To verify this fact, we report a statistical verification study of quantum atmospheric channels from the world’s first low-Earth orbit (LEO) 50-kg-class microsatellite-to-ground quantum-limited communication experiment. The verified statistical model is then applied to numerically investigate the quantum bit-error rate (QBER) and secret-key length (SKL) of a decoy-state efficient Bennett-Brassard 1984 (BB84) QKD protocol with optimized parameters considering finite-key effects, implemented over a LEO 6-unit (6U)-CubeSat-to-ground link. Important insights of the physical channel effects including pointing errors and atmospheric turbulence on the QBER and SKL are then revealed. Finally, we present a study using a deep-learning-based long short-term memory (LSTM) recurrent neural network (RNN) for predicting photon-count fluctuations over quantum atmospheric channels. © 2022, The Author(s).",,10.1038/s42005-022-01002-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138290288&doi=10.1038%2fs42005-022-01002-1&partnerID=40&md5=9b6e9cb558c2f9c25816360927b93210,Article
9,Scopus,Bozzio et al. (2022),2022,Enhancing quantum cryptography with quantum dot single-photon sources,npj Quantum Information,"Quantum cryptography harnesses quantum light, in particular single photons, to provide security guarantees that cannot be reached by classical means. For each cryptographic task, the security feature of interest is directly related to the photons’ non-classical properties. Quantum dot-based single-photon sources are remarkable candidates, as they can in principle emit deterministically, with high brightness and low multiphoton contribution. Here, we show that these sources provide additional security benefits, thanks to the tunability of coherence in the emitted photon-number states. We identify the optimal optical pumping scheme for the main quantum-cryptographic primitives, and benchmark their performance with respect to Poisson-distributed sources such as attenuated laser states and down-conversion sources. In particular, we elaborate on the advantage of using phonon-assisted and two-photon excitation rather than resonant excitation for quantum key distribution and other primitives. The presented results will guide future developments in solid-state and quantum information science for photon sources that are tailored to quantum communication tasks. © 2022, The Author(s).",,10.1038/s41534-022-00626-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137786480&doi=10.1038%2fs41534-022-00626-z&partnerID=40&md5=08c1c4ace6f53c97425fb71c21e1ba21,Article
10,Scopus,Zhong et al. (2022),2022,Multi-dimensional disturbance secure communication system with dynamic key hiding transmission based on power-domain non-orthogonal multiple access,Optics Communications,"Data security is becoming more critical in networks as high-speed and large-capacity optical transmission becomes more common. Cryptographic protocols at the MAC layer and higher tiers of the protocol stack are under threat as a result of quantum computer developments. Optical physical layer encryption has great advantages in optical communication security transmission, which can be compatible with a variety of networks, and achieve an efficient and secured ultra-high high-speed data transmission. In this work, we propose a physical layer encryption scheme based on orthogonal frequency division multiplexing power-domain non-orthogonal multiple access (OFDM-PD-NOMA) technique for the dynamic key hiding transmission and multi-dimensional disturbance. The encryption scheme realizes multi-point mutual-coupling key transmission and multi-dimensional disturbance encryption by a 3D discrete chaotic model. The encrypted data and the dynamic key are transmitted together by multichannel signals in PD-NOMA, then, the chaotic signal generated by chaotic generator is used to mask the dynamic key. 3D chaotic sequences generated by the dynamic key are used to encrypt bits, symbols and carriers of the original signal. The initial key, the dynamic key and the chaotic signal realize multi-point mutual-coupling. We conduct a 74.6 Gb/s encrypted quadrature phase shift keying (QPSK)-OFDM-PD-NOMA signal transmission over 2 km 7 core fiber. The key space of encrypted scheme can reach 10462. Finally, experimental results show that the original data can be recovered accurately, and the bit error rate (BER) of the dynamic key is close to zero. The security and reliability of the system have been verified, and this scheme has an important application prospect in the future optical communication system. © 2022 Elsevier B.V.",,10.1016/j.optcom.2022.128734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134617838&doi=10.1016%2fj.optcom.2022.128734&partnerID=40&md5=2288c626559b21ea3fe01c4dd567f4a8,Article
