Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39
"CTP1-T1: problem, time, complex",0.031351285,0.000663216,0.001771171,0,0.008483004,0.003368381,0.01329945,0.016928784,0.010617176,0.016258764,0.018298606,0.005130395,0.012820874,0.005084741,0.00445569,0.01447374,0.02368159,0.018627122,0.003793207,0,0.022003951,0,0,0,0.00482117,0.018955292,0,0,0.008334866,0.01720333,0,0,0,0,0.010104996,0,0,0,0
"CTP1-T2: optim, power, architectur",0.041581167,0.017259313,0.396849693,0.325216308,0.212919772,0.448640676,0.377339004,0.439240518,0.362778409,0.193884397,0.176246773,0.125615597,0.295314892,0.150314507,0.097305785,0.019196502,0.431386274,0.03149135,0.425712528,0.344928534,0.152538975,0.147529488,0,0.293463191,0.318472554,0.291232882,0.298684593,0.36051587,0.371811322,0.022816754,0.36496565,0,0,0,0.013402243,0,0,0.189408916,0
"CTP1-T3: optim, algorithm, power",0.249322166,0.017789623,0.315514865,0.248490908,0.221552227,0.366170516,0.380603472,0.453085558,0.350865362,0.260964772,0.261642977,0.131580737,0.314609678,0.150135855,0.105267941,0.115102913,0.493942948,0.153318034,0.351599528,0.263552604,0.269240246,0.112724164,0,0.224229022,0.276792907,0.354058269,0.228218586,0.275462557,0.341929955,0.136810075,0.278862541,0,0,0,0.080360328,0,0,0.14472335,0
"CTP1-T4: time, power, comput",0.27538492,0.014290927,0.219443182,0.168078035,0.178739712,0.259144585,0.302720199,0.364103857,0.273472899,0.231873018,0.239276991,0.106468497,0.256452867,0.118863648,0.086373422,0.127135132,0.414731502,0.167125058,0.478643024,0.178265693,0.531974796,0.076246073,0,0.151667414,0.258584293,0.304022123,0.154365935,0.186321527,0.259658241,0.15111144,0.188621259,0,0,0,0.08876075,0,0,0.097890166,0
"CTP1-T5: optim, problem, increas",0.235922416,0.013408664,0.216070733,0.167135742,0.167477659,0.253617772,0.284937701,0.341587634,0.259098515,0.210908491,0.215803816,0.099666516,0.239508583,0.112047393,0.080500139,0.108916739,0.38376409,0.143659055,0.244741799,0.177266284,0.22897744,0.075818616,0,0.150817124,0.310221378,0.279391722,0.153500516,0.272838241,0.334236623,0.134390704,0.276988361,0.015191073,0.096784483,0.097576063,0.324325374,0.107676743,0.184033523,0.097341366,0.013380853
"CTP1-T6: algorithm, optim, improv",0.317433723,0.01730007,0.272869398,0.210162937,0.216214365,0.321140928,0.367104905,0.440743793,0.332836235,0.275978786,0.283486112,0.12872432,0.309663436,0.144262259,0.104176665,0.146547524,0.498253025,0.192986203,0.553885552,0.222901472,0.596409577,0.095337256,0,0.189643276,0.309224437,0.363879172,0.193017477,0.232974399,0.317521135,0.174184799,0.235849959,0,0,0,0.102313719,0,0,0.122400793,0
"CTP1-T7: optim, algorithm, problem",0.219140927,0.012664853,0.205758295,0.159415986,0.158149867,0.241271298,0.269280563,0.322632699,0.245138309,0.198115197,0.202401539,0.0941001,0.226039577,0.105917691,0.07594563,0.10116934,0.361593597,0.133527378,0.390308691,0.169078613,0.404376198,0.072316665,0,0.143851101,0.321392316,0.262929154,0.146410551,0.251300839,0.308446478,0.124450915,0.255069128,0.01293921,0.082437544,0.083111783,0.282111833,0.09171518,0.15675314,0.092845311,0.01139733
"CTP1-T8: algorithm, optim, time",0.17326615,0.012475881,0.221988349,0.174932136,0.155358776,0.257534126,0.266981511,0.317746702,0.246239135,0.182546004,0.182876975,0.092261558,0.220557695,0.105327232,0.073786376,0.079990635,0.346024523,0.106595008,0.419587939,0.185535238,0.395868966,0.079355333,0,0.157852302,0.339408939,0.247888155,0.160660866,0.273608392,0.318485167,0.099565893,0.277697662,0.013825271,0.088082764,0.088803175,0.28180754,0.097995721,0.1674874,0.101882056,0.012177805
"CTP1-T9: problem, optim, algorithm",0.158430841,0.010875382,0.190161171,0.149385534,0.135503034,0.221049241,0.232432878,0.276996274,0.213824066,0.161316193,0.16227992,0.080500944,0.192628873,0.0916433,0.064498546,0.073141717,0.303399199,0.097247649,0.212405382,0.158440189,0.167857163,0.067766501,0,0.134799991,0.247682173,0.218016312,0.137198401,0.227261432,0.268473039,0.090409624,0.23061754,0.01069767,0.06815637,0.068713807,0.225908147,0.075826783,0.129597808,0.087003485,0.009422899
"CTP1-T10: learn, model, simul",0.170817077,0.013437295,0.24625319,0.195049516,0.167171028,0.284746869,0.288193082,0.342206132,0.266979603,0.191935391,0.190848625,0.099210262,0.236772029,0.113811084,0.079091939,0.078859988,0.368916572,0.105559696,0.272972369,0.206871987,0.193870898,0.08848128,0,0.176005483,0.265725795,0.262867495,0.179137036,0.256538266,0.301429195,0.096003741,0.260064987,0.006994753,0.044564561,0.044929045,0.169379679,0.049579918,0.084738512,0.113598601,0.006161234
