Cluster3Words,Doc:1 SubA:1,Doc:2 SubA:2,Doc:3 SubA:2,Doc:4 SubA:2,Doc:5 SubA:1,Doc:6 SubA:1,Doc:7 SubA:3,Doc:8 SubA:1,Doc:9 SubA:3,Doc:10 SubA:1,Doc:11 SubA:1,Doc:12 SubA:1,Doc:13 SubA:1,Doc:14 SubA:1,Doc:15 SubA:1,Doc:16 SubA:2,Doc:17 SubA:2,Doc:18 SubA:2,Doc:19 SubA:1,Doc:20 SubA:1,Doc:21 SubA:3,Doc:22 SubA:3,Doc:23 SubA:1,Doc:24 SubA:1,Doc:25 SubA:3,Doc:26 SubA:3,Doc:27 SubA:1,Doc:28 SubA:2,Doc:29 SubA:1,Doc:30 SubA:2,Doc:31 SubA:3,Doc:32 SubA:1,Doc:33 SubA:2,Doc:34 SubA:1,Doc:35 SubA:1
"T1: problem, time, complex",0,0,0.025733548,0,0.056196815,0,0,0.060910881,0.027332277,0,0,0.014261788,0.034679182,0,0,0,0.2211282,0.065530608,0,0,0,0.021297376,0,0,0,0.021297376,0,0.068897174,0.671408664,0,0,0.033042393,0.071407823,0.188387434,0.130277162
"T2: optim, power, architectur",0,0,0.05313496,0,0,0,0,0.086980997,0.056608246,0.127381804,0.093868964,0.029447923,0.009736499,0.661660716,0.315163208,0,0.091615756,0.135721321,0,0.097029371,0,0.043975095,0.213082424,0.097029371,0,0.043975095,0.213082424,0.046395809,0.099180764,0.047911661,0,0.103291202,0.127289648,0.061772098,0.019244596
"T3: optim, algorithm, power",0.059179527,0.025245523,0.109015322,0.040317766,0.078069658,0.042357813,0.024640466,0.117325363,0.060680962,0.219864908,0.109329841,0.044745915,0.045354498,0.710403639,0.323398614,0.059925262,0.084048632,0.109413245,0.030253689,0.091206758,0,0.053205696,0.223157696,0.091206758,0,0.053205696,0.223157696,0.089216338,0.098350777,0.047764377,0.009550901,0.144537055,0.113629602,0.093877755,0.053980142
"T4: time, power, comput",0.175454064,0.079502492,0.248292167,0.110596726,0.313255539,0.16560021,0.010108067,0.372455947,0.09843077,0.471414493,0.192775098,0.074766886,0.137918385,0.427709153,0.235589604,0.151096098,0.174032962,0.112299485,0.101602853,0.067964148,0,0.022706625,0.08828041,0.067964148,0,0.022706625,0.08828041,0.326755472,0.129106286,0.071185445,0.011930688,0.335480968,0.240260738,0.186476824,0.196936174
"T5: optim, problem, increas",0.117601602,0.067147247,0.198773973,0.083828677,0.253226821,0.120062116,0.063414073,0.37981236,0.051432001,0.402128975,0.218359547,0.074472394,0.140188731,0.569405746,0.28674395,0.125376961,0.245519579,0.073427068,0.039741281,0.043693985,0,0.043126167,0.15847987,0.043693985,0,0.043126167,0.15847987,0.271954856,0.179361219,0.084942884,0.025780608,0.255860045,0.232190739,0.182294322,0.134776906
"T6: algorithm, optim, improv",0.007700961,0.063528213,0.023605594,0.006915113,0.03595361,0.17164976,0.012297518,0.068400712,0.101599594,0.233608424,0.131250968,0.015398204,0.018628143,0.721146126,0.423364132,0.034267352,0.097118595,0.043137852,0.123576873,0.06044541,0,0.005274385,0.193750343,0.06044541,0,0.005274385,0.193750343,0.064959775,0.106373398,0.063436953,0.004302364,0.28139658,0.058553515,0.098949898,0.113188043
"T7: optim, algorithm, problem",0.068526582,0.080043688,0.14145313,0.043189149,0.220649243,0.135175064,0.088095238,0.182680289,0.11521377,0.429088668,0.208118981,0.110034166,0.128612434,0.340012916,0.217048325,0.101788577,0.26605756,0.168653673,0.049517056,0.087351682,0,0.095868357,0.082724774,0.087351682,0,0.095868357,0.082724774,0.170794536,0.251930052,0.087135274,0.019251198,0.266776685,0.205675526,0.183072483,0.097554021
"T8: algorithm, optim, time",0.121908977,0.04721947,0.182347791,0.082659549,0.107165078,0.058468373,0.053729262,0.202812471,0.03796376,0.32223929,0.163711312,0.056738179,0.061102961,0.661734873,0.328815662,0.074246199,0.126008767,0.071959049,0.031258371,0.081873234,0,0.034914398,0.198902456,0.081873234,0,0.034914398,0.198902456,0.115273003,0.124392757,0.076696814,0.018951428,0.234149727,0.138355171,0.11205236,0.096961375
"T9: problem, optim, algorithm",0.066269275,0.087557718,0.110186538,0.048857165,0.156874234,0.213674625,0.06123183,0.307488571,0.084220981,0.417608593,0.214860307,0.0701856,0.086630681,0.624130931,0.340583708,0.108170296,0.173684798,0.075953688,0.130274384,0.064762627,0,0.020893669,0.155139661,0.064762627,0,0.020893669,0.155139661,0.193469821,0.14794907,0.069124352,0.01749638,0.303702454,0.159056175,0.195428193,0.136589348
"T10: learn, model, simul",0.047239813,0.124446362,0.151690543,0.047779929,0.208529526,0.182996948,0.044380224,0.278284574,0.116046438,0.355702687,0.212654183,0.058238456,0.180601032,0.105964772,0.137443696,0.056360333,0.184177842,0.164944977,0.071253008,0.142863693,0,0.060132034,0,0.142863693,0,0.060132034,0,0.261401631,0.164530302,0.069380881,0.036221162,0.251378318,0.156591858,0.200146581,0.085296372
"T11: learn, comput, model",0.082733521,0.068569069,0.156169618,0.061038987,0.157778502,0.163792008,0.019327841,0.187752761,0.1084468,0.227794399,0.137201482,0.031989039,0.137668963,0.294941829,0.175120041,0.033059371,0.174590777,0.21481114,0.093628776,0.185984566,0,0.020597126,0.078610026,0.185984566,0,0.020597126,0.078610026,0.175810686,0.207848041,0.054446163,0.04950977,0.167319551,0.126598199,0.183011175,0.076108681
"T12: learn, model, optim",0.030472037,0.04671682,0.09626315,0.028133139,0.124648577,0.078446687,0.017983164,0.079296394,0.046885666,0.334460431,0.160615055,0.035851112,0.100335691,0.095025383,0.112324451,0.004286711,0.202205826,0.118715809,0.006317461,0.168878651,0,0.019915673,0,0.168878651,0,0.019915673,0,0.098959188,0.211070913,0.089211544,0.0184371,0.165978451,0.122933326,0.194142417,0.052313273
"T13: learn, comput, model",0.028940893,0.101177102,0.09741586,0.021393107,0.20918393,0.15602552,0.013467633,0.186978415,0.10530427,0.187121879,0.158318035,0.019090097,0.19605506,0.209265987,0.172358956,0.02308969,0.186431693,0.210545967,0.025654311,0.140174306,0,0.019442439,0.056627219,0.140174306,0,0.019442439,0.056627219,0.199344797,0.204003471,0.059040463,0.027581089,0.154385397,0.099168604,0.163779249,0.05979572
"T14: learn, model, network",0.02158447,0.068827772,0.106757486,0.028962837,0.166260959,0.127224528,0.025924907,0.15700763,0.042433665,0.274081776,0.184187385,0.032936619,0.139243266,0.134880776,0.159569069,0.043347626,0.179862413,0.100494565,0.035250927,0.178662197,0,0.017013904,0.031315865,0.178662197,0,0.017013904,0.031315865,0.185539668,0.187575499,0.080875544,0.029626178,0.210840945,0.118410337,0.172503773,0.044164387
"T15: learn, model, network",0.13144683,0.209530147,0.176910053,0.084357275,0.153709682,0.174316182,0.017065025,0.193436793,0.0938756,0.28507194,0.143691334,0.038441962,0.148437684,0.0979214,0.157067068,0.096907121,0.201285988,0.101013292,0.117531244,0.164536248,0,0.008346409,0,0.164536248,0,0.008346409,0,0.124029348,0.164784963,0.084211917,0.011689193,0.313324182,0.16969067,0.126945316,0.176620007
"T16: model, simul, network",0,0.034454926,0.047358399,0.016719211,0.027803246,0.124962665,0.047682359,0.160573166,0.016266248,0.011503467,0.05751014,0.036544294,0.025497226,0,0,0,0.029004421,0.038999207,0,0.217699267,0,0.006805536,0,0.217699267,0,0.006805536,0,0.061158692,0.060945127,0,0.030655878,0.004403392,0.047371663,0.051044448,0.005222588
