NoDTest,Title,Authors,Main Topic,Key Points,Publication Year,Topic 1,Topic 2,Topic 3,SubAspect,addit,bb84,applic,bps,character,assumpt,attack,base,communic,bound,channel,cryptographi,decoy,chip,circuit,design,detector,comput,discret,continu,cryptograph,decod,deleg,encrypt,determinist,devic,error,distanc,fast,distribut,effici,encod,finit,entangl,framework,experiment,game,fiat,general,hardwar,fulli,homomorph,function,independ,interact,integr,knowledg,long,lack,low,measur,loss,model,modul,multi,nanowir,optic,obfusc,perform,passiv,phase,pixel,photon,prepar,process,post,presenc,proof,qkd,protocol,pseudo,quantum,qubit,random,relat,requir,rate,round,setup,secur,shamir,share,speed,superconduct,state,system,singl,transform,theorem,ultra,transmiss,vbb,twin,variabl,verif,wotro,verifi,key,high,field
1,Security of differential phase shift quantum key distribution from relativistic principles,"Martin Sandfuchs (ETH ZÃƒÂ¼rich); Marcus Haberland (Max Planck Institute for Gravitational Physics, ETH ZÃƒÂ¼rich); V. Vilasini (ETH ZÃƒÂ¼rich); Ramona Wolf (ETH ZÃƒÂ¼rich)",Security proof of DPS QKD using relativistic principles,"First full security proof of DPS QKD against general attacks, combining quantum information theory, quantum optics, and relativity.",2023,0.79613781,0.114307053,0.089555152,1,0,0,0,0,0,0,0.328986895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104821026,0,0,0,0,0,0,0,0,0.38328362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38328362,0,0,0,0.23616603,0,0,0,0,0,0,0.335520493,0.209642052,0,0,0.023638383,0,0,0.38328362,0,0,0,0,0.464991151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104821026,0,0
2,Experimental Twin-Field Quantum Key Distribution Over 1000 km Fiber Distance,Yang Liu (Jinan Institute of Quantum Technology),Twin-Field QKD over long distances,Demonstrated twin-field QKD over 1002 km using 3-intensity sending-or-not-sending protocol with ultra-low noise detectors.,2023,0.102680869,0.804062128,0.093256988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166423274,0,0,0,0,0,0,0,0,0,0,0.38778028,0,0.05302539,0,0,0,0,0,0.146935223,0,0,0,0,0,0,0,0,0,0,0,0.19389014,0,0.146935223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10605078,0.099980307,0,0.003985951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19389014,0,0,0.58167042,0,0,0,0,0.05302539,0,0.58167042
3,Security of quantum key distribution with imperfect phase randomisation,Guillermo CurrÃƒÂ¡s-Lorenzo (University of Vigo); Kiyoshi Tamaki (University of Toyama); Marcos Curty (University of Vigo),Security proof for QKD with correlated phases,"Provided a security proof for decoy-state QKD with correlated phases, addressing security loopholes in high-speed systems.",2023,0.107229777,0.79843235,0.094337851,2,0,0,0,0,0,0,0,0,0,0,0,0,0.278779929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088824201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600373603,0,0,0,0,0,0,0.284316429,0.177648403,0,0,0.00667697,0,0,0,0,0,0,0,0.525371283,0,0,0.246134991,0,0.167479596,0.220813609,0,0,0,0,0,0,0,0,0,0,0,0.088824201,0.142158215,0
4,Security bounds for quantum key distribution with arbitrary phase randomization,Xoel Sixto (Universidade de Vigo); Guillermo CurrÃƒÂ¡s-Lorenzo (University of Toyama); Kiyoshi Tamaki (University of Toyama); Marcos Curty (Universidade de Vigo),Security bounds for QKD with arbitrary phase randomization,Investigated the security of decoy-state QKD with non-uniform phase randomization using semi-definite programming for parameter estimation.,2023,0.102130398,0.79839164,0.099477984,2,0,0,0,0,0,0,0,0,0,0.45477389,0,0,0.195174855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06218615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42032377,0,0,0,0,0,0,0,0.124372301,0,0,0.004674571,0,0.682160834,0,0,0,0,0,0.275860777,0,0,0,0,0.117253082,0,0,0,0,0,0,0,0,0,0,0,0,0.06218615,0,0
5,High-Rate Quantum Key Distribution exceeding 110Mb/s,"Wei Li, Likang Zhang, Hao Tan, Yichen Lu, Sheng-Kai Liao, Jia Huang, Hao Li, Zhen Wang, Hao-Kun Mao, Bingze Yan, Qiong Li, Yang Liu, Qiang Zhang, Cheng-Zhi Peng, Lixing You, Feihu Xu, Jianwei Pan",Quantum Key Distribution,"High key rate, multi-pixel superconducting nanowire detector, low-error transmitter, fast post-processing algorithm",2022,0.825293183,0.100054175,0.074652635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25406001,0,0,0,0,0,0,0,0,0,0.295990636,0,0.295990636,0.161895999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224309757,0,0,0,0,0.295990636,0.295990636,0,0,0,0,0,0.295990636,0,0,0.295990636,0.201233668,0,0,0,0,0,0.012169822,0,0,0,0,0.28089701,0,0,0,0,0,0,0.295990636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242843998,0.259105579,0
6,Experimental cheat-sensitive quantum weak coin flipping,"Simon Neves, Verena Yacoub, Ulysse Chabaud, Mathieu Bozzio, Iordanis Kerenidis, Eleni Diamanti",Quantum Weak Coin Flipping,"Cheat sensitivity, weak coin flipping, heralded single photons, optical interferometer, high protocol benchmarks",2022,0.79388833,0.104387954,0.101723738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421508008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556205958,0,0,0,0,0,0.378144954,0,0,0,0,0,0,0.286810058,0,0.022868721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477412708,0,0,0,0,0,0,0,0,0,0,0,0.243447003,0
7,Experimental Certification of Quantum Transmission via Bell's Theorem,"Simon Neves, Laura Dos Santos Martins, Verena Yacoub, Pascal Lefebvre, Ivan Supic, Damian Markham, Eleni Diamanti",Quantum Transmission Certification,"Certification of quantum transmission, device independent framework, practical implementation, robustness for realistic losses",2022,0.11092265,0.106074058,0.783003271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203344453,0,0,0,0,0,0,0,0,0.268325617,0.203344453,0,0,0,0,0,0,0,0.268325617,0,0,0,0,0,0,0,0.230314073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016548538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268325617,0,0.804976851,0,0,0,0,0,0,0,0,0
8,Quantum Key Distribution Links between Mobile Platforms,"Andrew Conrad, Samantha Isaac, Roderick Cochran, Daniel Sanchez-Rosales, Timur Javid, Shuen Wu, Dan Gauthier, Paul Kwiat",Quantum Key Distribution,"QKD for mobile platforms, secure communication, modular design, drone and vehicle deployment, high-speed transmission",2022,0.793025255,0.108306952,0.098667793,1,0,0,0,0,0,0,0,0,0.370730498,0,0,0,0,0,0,0.489201885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26757545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133787725,0,0,0.020113811,0,0,0,0,0,0,0,0.197829611,0,0,0.370730498,0,0,0,0,0,0,0,0.489201885,0,0,0,0,0,0,0.26757545,0.214119844,0
9,Entropy Accumulation under Post-Quantum Cryptographic Assumptions,"Ilya Merkulov, Rotem Arnon-Friedman",Post-Quantum Cryptography,"Device-independent protocols, computational assumption, entropic uncertainty relation, entropy accumulation theorem, flexible proof technique",2022,0.099958137,0.08932066,0.810721219,3,0,0,0,0,0,0.436917343,0,0,0,0,0,0.243510005,0,0,0,0,0,0.321326554,0,0,0.197990242,0,0,0,0,0.243510005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436917343,0,0.140642123,0,0.165693456,0,0.013211522,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0
10,Resource-efficient quantum key distribution with using integrated silicon photonics,"Kejin Wei, Xiao Hu, Yongqiang Du, Xin Hua, Zhengeng Zhao, Ye Chen, Chunfeng Huang, Xi Xiao",Quantum Key Distribution with Silicon Photonics,"Resource-efficient chip-based BB84 QKD, silicon-based encoder and decoder, no additional hardware required, low intrinsic QBER, high stability, secure key distribution at 866 bps",2024,0.854772031,0.076702118,0.068525843,1,0.244929563,0.244929563,0,0.244929563,0,0,0,0.333038066,0,0,0,0,0,0.210232351,0,0,0,0,0,0,0,0.244929563,0,0,0,0,0,0,0,0.200951203,0.420464702,0.210232351,0,0,0,0,0,0,0,0.244929563,0,0,0,0,0,0.166519033,0,0,0,0.185614287,0,0,0,0,0,0,0,0,0,0,0,0,0.333038066,0,0,0,0,0,0.066983734,0,0,0.010070417,0,0,0,0.210232351,0,0,0,0.099047697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200951203,0.107203757,0
