Topic,CTP2-T1,CTP2-T2,CTP2-T3,CTP2-T4,CTP2-T5,CTP2-T6,CTP2-T7,CTP2-T8,CTP2-T9,CTP2-T10,CTP2-T11,CTP2-T12,CTP2-T13,CTP2-T14,CTP2-T15,CTP2-T16,CTP2-T17,CTP2-T18,CTP2-T19,CTP2-T20,CTP2-T21,CTP2-T22,CTP2-T23,CTP2-T24,CTP2-T25,CTP2-T26,CTP2-T27,CTP2-T28,CTP2-T29,CTP2-T30,CTP2-T31,CTP2-T32,CTP2-T33,CTP2-T34,CTP2-T35,CTP2-T36,CTP2-T37,CTP2-T38,CTP2-T39,FinalScore,EntropyChange
"CTP1-T01: problem, time, complex",0.408763596,0.158129856,0.111561191,0,0.139336473,0.110690641,0.102869865,0.109788335,0.116672586,0.117852497,0.144238796,0.155358786,0.141719542,0.125528301,0.14954917,0.052605369,0.197290102,0.114173616,0.130100184,0,0.153702203,0,0,0,0.121604115,0.171021197,0,0,0.098558185,0.128351523,0,0,0,0,0.071410219,0,0,0,0,0.475749412,79.29090912
"CTP1-T02: optim, power, architectur",0.508328241,0.207370945,0.148230995,0.010775337,0.181300063,0.151513613,0.131127698,0.14861019,0.156097133,0.156962825,0.190074403,0.205924733,0.187368876,0.170147938,0.197593532,0.065418729,0.256962444,0.147909602,0.171006301,0.00900767,0.201973037,0.006971649,0,0.008399839,0.159250793,0.217832395,0.010072545,0.007779271,0.13344407,0.159614762,0.011056906,0,0,0,0.088803972,0,0,0.004745762,0,0.28058157,39.74125423
"CTP1-T03: optim, algorithm, power",0.379256592,0.176917809,0.130251548,0.030345629,0.151877558,0.141737204,0.104459618,0.135883406,0.139245705,0.138646165,0.163967629,0.179978691,0.162833751,0.156017976,0.17147229,0.048807999,0.215765523,0.122621124,0.146665651,0.025367506,0.173114516,0.019633638,0,0.023655726,0.135431563,0.173192556,0.02836642,0.021908073,0.122082816,0.119086342,0.031138589,0,0,0,0.066255401,0,0,0.013365071,0,0.30735942,-19.97150567
"CTP1-T04: time, power, comput",0.460707917,0.201844267,0.14665257,0.02373156,0.174716436,0.155285322,0.122992739,0.150345141,0.155738538,0.155743392,0.1861396,0.203125457,0.184241412,0.172410615,0.194140608,0.059290285,0.247947147,0.141734111,0.279777753,0.019838458,0.30996353,0.015354332,0,0.018499774,0.26938109,0.204106668,0.022183735,0.017133036,0.135043739,0.144662009,0.024351688,0,0,0,0.080484792,0,0,0.010452048,0,0.259194604,61.91451397
"CTP1-T05: optim, problem, increas",0.410721601,0.191294905,0.140791441,0.032560946,0.164252938,0.153107536,0.113036293,0.146818054,0.150489442,0.149857039,0.177270931,0.194553627,0.17603099,0.168567989,0.185372537,0.052857352,0.233340571,0.13262812,0.158575176,0.027219406,0.187173037,0.02106695,0,0.025382661,0.273007367,0.187416853,0.030437249,0.132977864,0.247861056,0.226472617,0.126175744,0.084651698,0.132095986,0.112048045,0.273729318,0.108401055,0.023407484,0.014340759,0.108409341,0.285510038,61.78454434
"CTP1-T06: algorithm, optim, improv",0.320568596,0.163760402,0.122686881,0.039936795,0.139015211,0.138183018,0.092539618,0.130873193,0.132290994,0.130986547,0.152785072,0.168999187,0.152393284,0.150495996,0.160341993,0.041255213,0.197780384,0.111503585,0.350615168,0.033385266,0.375162583,0.025839128,0,0.031132454,0.34296182,0.153226494,0.037332029,0.028832431,0.117616321,0.100658346,0.040980381,0,0,0,0.056002721,0,0,0.017589291,0,0.239383979,217.9164581
"CTP1-T07: optim, algorithm, problem",0.371772331,0.16662207,0.121656054,0.022910152,0.143788972,0.130145452,0.100367083,0.125537381,0.129514838,0.129308837,0.153941387,0.168353721,0.15255874,0.144028566,0.160717233,0.04784482,0.204136713,0.116441358,0.25770278,0.0191518,0.282631819,0.014822881,0,0.017859452,0.37365812,0.166504271,0.021415902,0.124053331,0.226652684,0.21249934,0.114614319,0.083138283,0.129734356,0.110044835,0.263313982,0.106463046,0.022989002,0.010090277,0.106471184,0.437460116,41.95722582
"CTP1-T08: algorithm, optim, time",0.464784286,0.217360074,0.160107516,0.037736384,0.186535739,0.174405103,0.128179357,0.1671407,0.171206678,0.17044137,0.201488331,0.221212819,0.200120457,0.191915665,0.210731895,0.059814889,0.265013848,0.15057496,0.289246897,0.031545827,0.321767316,0.024415461,0,0.029417139,0.39741034,0.212511772,0.035275134,0.13125421,0.260338271,0.238584935,0.126859622,0.080429515,0.125507418,0.106459411,0.273099932,0.102994322,0.022239986,0.016620168,0.103002195,0.348135684,18.11140469
"CTP1-T09: problem, optim, algorithm",0.364273363,0.177494247,0.131805079,0.036748472,0.151538554,0.145916511,0.102591172,0.139037293,0.141508982,0.140508704,0.165040192,0.181845022,0.164252597,0.159761899,0.172894073,0.046879749,0.215437051,0.121957473,0.147373658,0.030719979,0.173917551,0.023776281,0,0.028647018,0.188703113,0.169986756,0.034351655,0.072336915,0.173454558,0.15518169,0.076524458,0.035421261,0.055273628,0.046884861,0.14815219,0.045358832,0.009794518,0.016185063,0.045362299,0.276674492,163.0283328
"CTP1-T10: learn, model, simul",0.39534503,0.183703324,0.135139842,0.030910003,0.157781977,0.146819869,0.108676123,0.140837257,0.144414252,0.143829641,0.170205258,0.186759884,0.168994609,0.161694196,0.177966869,0.050878482,0.224139099,0.127425248,0.152268988,0.025839296,0.179731432,0.019998789,0,0.02409568,0.206740634,0.180193727,0.028893984,0.079489855,0.187092808,0.17506378,0.080166559,0.044211974,0.068991224,0.058520566,0.174554792,0.056615812,0.012225284,0.013613637,0.056620139,0.330453519,374.2007504
