Cluster3Words,Aspect1Topic10Words,complex,applic,classic,develop,challeng,base,compar,channel,cryptographi,process,communic,system,comput,function,model,high,effici,design,integr,key,distribut,requir,protocol,secur,perform,experiment,measur,low,state,optic,qkd,field,photon,entangl,transmiss,rate
"T01: complex, applic, classic","complex-0.051, applic-0.019, classic-0.007, develop-0.004, challeng-0.004",0.004151596,0.006490272,0.009841975,0.006735173,0.007107638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T02: base, compar, classic","base-0.017, compar-0.016, classic-0.007, applic-0.004",0,0.006348995,0.009424369,0,0,0.00038838,0.005169096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T03: base, complex, classic","base-0.067, complex-0.034, classic-0.025, develop-0.023, applic-0.016, compar-0.013, challeng-0.007",0.01486892,0.025804265,0.033875631,0.034315857,0.019500253,0.005958263,0.031646055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T04: base, cryptographi, complex","base-0.095, cryptographi-0.091, complex-0.035, develop-0.031, compar-0.03, applic-0.026, classic-0.021, challeng-0.009",0.047362761,0.061059508,0.062347828,0.047020514,0.029128169,0.009076514,0.048751592,0,0.046776712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T05: base, complex, compar","base-0.258, complex-0.127, compar-0.108, applic-0.078, challeng-0.048, develop-0.042, classic-0.04, channel-0.034",0.067058253,0.11833429,0.117952038,0.099233859,0.078166909,0.027072305,0.144695621,0.113883833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T06: base, complex, cryptographi","base-0.158, complex-0.072, cryptographi-0.069, classic-0.033, applic-0.027, develop-0.027, compar-0.007",0.03619012,0.044366541,0.050297373,0.06400332,0,0.015950451,0.019510897,0,0.092816866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T07: base, compar, cryptographi","base-0.152, compar-0.079, cryptographi-0.065, classic-0.06, applic-0.053, complex-0.045, channel-0.031, challeng-0.022, develop-0.016",0.107951297,0.08616611,0.091526171,0.056128393,0.075075787,0.015323309,0.040081566,0.089975406,0.086827856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T08: base, compar, complex","base-0.365, compar-0.1, complex-0.092, classic-0.083, cryptographi-0.074, applic-0.07, develop-0.044, channel-0.04, challeng-0.035",0.123199293,0.16563931,0.125420843,0.127614103,0.12431827,0.038809444,0.052247732,0.13384149,0.121536607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T09: base, complex, classic","base-0.331, complex-0.181, classic-0.145, compar-0.106, applic-0.073, challeng-0.047, develop-0.025, channel-0.016",0.097447894,0.120415764,0.1934542,0.073489155,0.111926906,0.035055839,0.160329945,0.054674308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T10: base, challeng, complex","base-0.166, challeng-0.073, complex-0.07, compar-0.063, develop-0.037, applic-0.031, classic-0.025, channel-0.012",0.09314639,0.074641844,0.07241626,0.061337914,0.036740035,0.016841093,0.096121464,0.038977082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T11: classic, base, develop","classic-0.202, base-0.19, develop-0.108, complex-0.096, applic-0.073, compar-0.07, challeng-0.058, cryptographi-0.055, channel-0.028",0.145088775,0.12045011,0.020792731,0.1443771,0.170316534,0.102690506,0.16614014,0.098998321,0.18438429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
