Cluster3Words,Aspect10Topic10Words,complex,applic,classic,develop,challeng,base,compar,channel,cryptographi,process,communic,system,comput,function,model,high,effici,design,integr,key,distribut,requir,protocol,secur,perform,experiment,measur,low,state,optic,qkd,field,photon,entangl,transmiss,rate,Magnitude,EntropyScore
"T01: applic, process, communic",,0,0.005640776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005640776,0.042135979
"T02: function, model, system",,0,0.006093464,0,0,0,0.005432594,0,0,0,0,0.005017007,0.004300769,0.004831466,0,0.007700217,0,0.004448051,0.004341407,0.004065806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015751524,0.350192967
"T03: function, model, base",,0,0.022915855,0,0,0,0.025642022,0,0,0,0,0,0.023074908,0.020040641,0.040878965,0.0361076,0.019115566,0.022269127,0,0,0,0.022694555,0.02412634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083964391,1.345392473
"T04: key, effici, function",,0,0,0,0,0,0.057931915,0,0,0,0.052091111,0,0,0,0.052795102,0.057615769,0.055511992,0.050742363,0,0,0.023218373,0.060229832,0,0.053473912,0.055587264,0,0,0,0,0,0,0,0,0,0,0,0,0.167179507,2.19901052
"T05: function, base, effici",,0,0.119771277,0,0,0,0.090676,0,0,0,0,0,0,0,0.096173836,0.104037757,0.117746411,0.105961047,0.116399409,0,0.121576667,0.12207429,0,0,0,0.111776127,0,0,0,0,0,0,0,0,0,0,0,0.351366278,3.506342132
"T06: function, protocol, base",,0,0.039400356,0,0,0,0.064859743,0,0,0,0,0,0,0.016063815,0.056131298,0.051359079,0,0.050596562,0,0.015722609,0,0,0,0.076556258,0,0,0.017309958,0.019917193,0,0,0,0,0,0,0,0,0,0.145499486,1.798406127
"T07: base, applic, function",,0,0.044901544,0,0,0,0.018368538,0,0,0,0.066503878,0,0.059864698,0.067320031,0.050678705,0.061138731,0,0.068583604,0,0,0,0,0.056022353,0,0,0,0,0,0.052852441,0,0,0,0,0,0,0,0,0.178420731,2.259066514
"T08: function, model, base",,0,0.106869629,0,0,0,0.15457759,0,0,0,0,0,0.083861421,0,0.164987739,0.1425986,0,0.124778954,0,0,0,0.121940002,0.104929619,0,0.132727086,0,0,0,0.096708381,0,0,0,0,0,0,0,0,0.39789668,3.689353352
"T09: function, effici, base",,0,0.112774447,0,0,0,0.139845301,0,0,0,0,0,0,0,0.1049298,0.109075024,0,0.13116374,0.134113085,0,0.114522271,0.114417795,0,0.147392756,0,0,0.133435482,0,0,0,0,0,0,0,0,0,0,0.395106427,3.725783291
"T10: model, base, high",,0,0.049073918,0,0,0,0.056951453,0,0,0,0.051274536,0,0,0.053143184,0,0.037345453,0.068344562,0.054911829,0.048093792,0,0,0,0,0,0,0.053849896,0,0,0,0.059770672,0,0,0,0,0,0,0,0.17020964,2.245663942
"T11: model, high, function",,0,0.112548642,0,0,0,0.109780353,0,0,0,0.101884357,0,0,0.107536279,0.105021199,0.099489514,0.088283149,0.080402807,0.096260738,0,0,0,0,0,0,0,0,0,0,0.103039203,0,0,0,0,0,0,0,0.318955709,3.323371096
"T12: model, base, effici",,0,0.054869119,0,0,0,0.059075313,0,0,0,0.048831299,0,0.0373346,0.038286117,0,0.049129901,0.042172925,0.055997161,0,0.029725646,0,0,0,0,0,0.029752026,0,0,0,0,0,0,0,0,0,0,0,0.144365819,1.981617393
"T13: model, process, high",,0,0.151869496,0,0,0,0.15678746,0,0,0,0.128835124,0,0,0.152691457,0.137030232,0.112846926,0.152471873,0,0.13170229,0,0,0,0,0,0,0.135508919,0,0,0,0,0,0,0.11769033,0,0,0,0,0.438039246,3.928004122
"T14: model, base, high",,0,0.049025458,0,0,0,0.072102287,0,0,0,0.053323294,0,0,0.037508184,0,0.053605487,0.061690705,0.04071527,0,0,0,0,0,0,0,0.039999887,0.045675135,0,0,0.040130486,0,0,0,0,0,0,0,0.159643861,2.127534809
"T15: model, protocol, key",,0,0.037821415,0,0,0,0.038624043,0,0,0,0,0,0,0,0,0.029787163,0.026035644,0.025963041,0,0.0221181,0.034050367,0,0,0.036814314,0.036750314,0,0,0,0,0,0,0,0.034218452,0,0,0,0,0.103377488,1.589588485
"T16: model, design, experiment",,0,0.004054844,0,0,0,0,0,0,0,0,0.00235779,0.003944388,0.005084258,0,0.019812173,0.00779827,0,0.01338691,0,0,0,0,0,0,0.002634901,0.014204995,0,0,0.009383772,0,0,0,0,0,0,0,0.031507668,0.546006845
"T17: model, effici, applic",,0,0.029593468,0,0,0,0.022907357,0,0,0,0,0,0,0.018538784,0,0.013761083,0,0.027301342,0.010172116,0,0.008438748,0.007918361,0,0,0,0,0,0,0.016105471,0.024160962,0,0,0,0,0,0,0,0.061314441,1.015108913
"T18: model, base, communic",,0,0.016522205,0,0,0,0.011273267,0,0,0,0,0.013024276,0,0.017408414,0.014431142,0.043208417,0,0,0.01487147,0.010117516,0,0,0,0,0,0,0,0,0,0.009186358,0.011964395,0,0,0,0,0,0,0.059152686,0.934028991
