Cluster3Words,Aspect13Topic10Words,time,classic,applic,system,challeng,network,develop,comput,studi,promis,show,approach,model,final,present,function,number,technolog,differ,key,protocol,requir,secur,propos,design,base,scheme,techniqu,optic,state,qkd,effici,rate,exist,entangl,photon,channel,communic,demonstr,cryptographi,work,distribut,measur,high,achiev,provid,result,process,integr,perform,experiment,low,field,transmiss,Magnitude,EntropyScore
"T01: time, classic, applic",,0,0,0,0,0,0,0,0.001667206,0.002971787,0.001372108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003673387,0.053379996
"T02: system, show, approach",,0,0.009771446,0,0.000482428,0,0,0,0.007005153,0.008668314,0,0.000402925,0.000669664,0.005956759,0.008728724,0.008863297,0.009576733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02241611,0.420068726
"T03: number, system, model",,0,0.03879482,0,0.018687644,0,0.037686017,0,0.03625424,0,0,0.035610111,0,0.022206399,0,0,0.034730155,0.01370477,0.0381615,0.035914137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102421706,1.539589475
"T04: key, protocol, system",,0.045315585,0.051388457,0,0.023070763,0,0,0,0.039870456,0,0,0,0,0.042089969,0,0,0,0.050969295,0,0,0.034088625,0.018815516,0.037709533,0.053448705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130309073,1.822583003
"T05: network, system, key",,0.083542914,0.093499818,0,0.071186064,0,0.061531064,0,0,0,0,0,0,0.090770006,0,0,0.083465782,0,0,0,0.076817528,0,0.083721264,0,0.084671687,0.096847592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263134616,2.962778275
"T06: protocol, network, number",,0.033781407,0.053149793,0,0,0,0.024621465,0,0,0,0,0,0,0.044072779,0,0,0.046343224,0.030192424,0,0,0,0.031728524,0,0,0.029623638,0,0.036209796,0.036780562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118836886,1.735004852
"T07: system, classic, number",,0,0.048411185,0,0.045988722,0,0.080339394,0,0.081193018,0,0,0,0,0.062570765,0,0.052715209,0,0.047695993,0,0.079356582,0,0,0.080064943,0,0.065005343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208345358,2.523620405
"T08: system, model, classic",,0.135375246,0.086890249,0,0.067027754,0,0.12943124,0,0,0,0,0,0,0.08262937,0,0,0.12342656,0,0,0.118973952,0,0,0.127367031,0.12033002,0.11145682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355615473,3.474184706
"T09: classic, network, propos",,0,0.102201403,0,0.101335535,0,0.087647095,0,0.112108887,0,0,0,0,0.113474672,0,0,0,0.11987226,0,0,0.112663576,0.129147078,0.116711603,0,0.084573082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344029863,3.455182708
"T10: model, network, challeng",,0,0.046939583,0,0.056846841,0.059276465,0.048200942,0.048458109,0.085035987,0,0,0,0,0.036987601,0,0,0,0,0.052746025,0,0,0,0.050646461,0,0.050127023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173433657,2.243057593
