NoDTest,Title,Authors,Main Topic,Key Points,Abstract,Publication Year,Topic 1,Topic 2,Topic 3,SubAspect,addit,bb84,applic,bps,character,assumpt,attack,base,communic,bound,channel,cryptographi,decoy,chip,circuit,design,detector,comput,discret,continu,cryptograph,decod,deleg,encrypt,determinist,devic,error,distanc,fast,distribut,effici,encod,finit,entangl,framework,experiment,game,fiat,general,hardwar,fulli,homomorph,function,independ,interact,integr,knowledg,long,lack,low,measur,loss,model,modul,multi,nanowir,optic,obfusc,perform,passiv,phase,pixel,photon,prepar,process,post,presenc,proof,qkd,protocol,pseudo,quantum,qubit,random,relat,requir,rate,round,setup,secur,shamir,share,speed,superconduct,state,system,singl,transform,theorem,ultra,transmiss,vbb,twin,variabl,verif,wotro,verifi,key,high,field,complex,classic,develop,challeng,compar,Magnitude
1,Security of differential phase shift quantum key distribution from relativistic principles,"Martin Sandfuchs (ETH ZÃƒÂ¼rich); Marcus Haberland (Max Planck Institute for Gravitational Physics, ETH ZÃƒÂ¼rich); V. Vilasini (ETH ZÃƒÂ¼rich); Ramona Wolf (ETH ZÃƒÂ¼rich)",Security proof of DPS QKD using relativistic principles,"First full security proof of DPS QKD against general attacks, combining quantum information theory, quantum optics, and relativity.","The design of quantum protocols for secure key generation poses many challenges: On the one hand, they need to be practical concerning experimental realisations. On the other hand, their theoretical description must be simple enough to allow for a security proof against all possible attacks. Often, these two requirements are in conflict with each other, and the differential phase shift (DPS) QKD protocol exemplifies these difficulties: It is designed to be implementable with current optical telecommunication technology, which, for this protocol, comes at the cost that many standard security proof techniques do not apply to it. After about 20 years since its invention, this work presents the first full security proof of DPS QKD against general attacks, including finite-size effects. The proof combines techniques from quantum information theory, quantum optics, and relativity. We first give a security proof of a QKD protocol whose security stems from relativistic constraints. We then show that security of DPS QKD can be reduced to security of the relativistic protocol. In addition, we show that coherent attacks on the DPS protocol are, in fact, stronger than collective attacks.",2023,0.79613781,0.114307053,0.089555152,1,0,0,0,0,0,0,0.328986895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104821026,0,0,0,0,0,0,0,0,0.38328362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38328362,0,0,0,0.23616603,0,0,0,0,0,0,0.335520493,0.209642052,0,0,0.023638383,0,0,0.38328362,0,0,0,0,0.464991151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104821026,0,0,0,0,0,0,0,1
2,Experimental Twin-Field Quantum Key Distribution Over 1000 km Fiber Distance,Yang Liu (Jinan Institute of Quantum Technology),Twin-Field QKD over long distances,Demonstrated twin-field QKD over 1002 km using 3-intensity sending-or-not-sending protocol with ultra-low noise detectors.,"Quantum key distribution (QKD) aims to generate secure private keys shared by two remote parties. With its security being protected by principles of quantum mechanics, some technology challenges remain towards the practical application of QKD. The major one is the distance limit, which is caused by the fact that a quantum signal cannot be amplified while the channel loss is exponential with the distance for photon transmission in optical fiber. Here using the 3-intensity sending-or-not-sending protocol with the actively-odd-parity-pairing method, we demonstrate a fiber-based twin-field QKD over 1002 km. In our experiment, we developed a dual-band phase estimation and ultra-low noise superconducting nanowire single-photon detectors to suppress the system noise to around 0.02 Hz. The secure key rate is $9.53\times10^{-12}$ per pulse through 1002 km fiber in the asymptotic regime, and $8.75\times10^{-12}$ per pulse at 952 km considering the finite size effect. Our work constitutes a critical step toward the future large-scale quantum network.",2023,0.102680869,0.804062128,0.093256988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166423274,0,0,0,0,0,0,0,0,0,0,0.38778028,0,0.05302539,0,0,0,0,0,0.146935223,0,0,0,0,0,0,0,0,0,0,0,0.19389014,0,0.146935223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10605078,0.099980307,0,0.003985951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19389014,0,0,0.58167042,0,0,0,0,0.05302539,0,0.58167042,0,0,0,0,0,1
3,Security of quantum key distribution with imperfect phase randomisation,Guillermo CurrÃƒÂ¡s-Lorenzo (University of Vigo); Kiyoshi Tamaki (University of Toyama); Marcos Curty (University of Vigo),Security proof for QKD with correlated phases,"Provided a security proof for decoy-state QKD with correlated phases, addressing security loopholes in high-speed systems.","The performance of quantum key distribution (QKD) is severely limited by multiphoton emissions, due to the photon-number-splitting attack. The most efficient solution, the decoy-state method, requires that the phases of all transmitted pulses are independent and uniformly random. In practice, however, these phases are often correlated, especially in high-speed systems, which opens a security loophole. Here, we address this pressing problem by providing a security proof for decoy-state QKD with correlated phases that offers key rates close to the ideal scenario. Our work paves the way towards high-performance secure QKD with practical laser sources, and may have applications beyond QKD.",2023,0.107229777,0.79843235,0.094337851,2,0,0,0,0,0,0,0,0,0,0,0,0,0.278779929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088824201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600373603,0,0,0,0,0,0,0.284316429,0.177648403,0,0,0.00667697,0,0,0,0,0,0,0,0.525371283,0,0,0.246134991,0,0.167479596,0.220813609,0,0,0,0,0,0,0,0,0,0,0,0.088824201,0.142158215,0,0,0,0,0,0,1
4,Security bounds for quantum key distribution with arbitrary phase randomization,Xoel Sixto (Universidade de Vigo); Guillermo CurrÃƒÂ¡s-Lorenzo (University of Toyama); Kiyoshi Tamaki (University of Toyama); Marcos Curty (Universidade de Vigo),Security bounds for QKD with arbitrary phase randomization,Investigated the security of decoy-state QKD with non-uniform phase randomization using semi-definite programming for parameter estimation.,"Decoy-state quantum key distribution (QKD) is undoubtedly the most efficient solution to handle multi-photon signals emitted by laser sources, and provides the same secret key rate scaling as ideal single-photon sources. It requires, however, that the phase of each emitted pulse is uniformly random. This might be difficult to guarantee in practice, due to inevitable device imperfections and/or the use of an external phase modulator for phase randomization, which limits the possible selected phases to a finite set. Here, we investigate the security of decoy-state QKD with arbitrary, continuous or discrete, non-uniform phase randomization, and show that this technique is quite robust to deviations from the ideal uniformly random scenario. For this, we combine a novel parameter estimation technique based on semi-definite programming, with the use of basis mismatched events, to tightly estimate the parameters that determine the achievable secret key rate. In doing so, we demonstrate that our analysis can significantly outperform previous results that address more restricted scenarios.",2023,0.102130398,0.79839164,0.099477984,2,0,0,0,0,0,0,0,0,0,0.45477389,0,0,0.195174855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06218615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42032377,0,0,0,0,0,0,0,0.124372301,0,0,0.004674571,0,0.682160834,0,0,0,0,0,0.275860777,0,0,0,0,0.117253082,0,0,0,0,0,0,0,0,0,0,0,0,0.06218615,0,0,0,0,0,0,0,1
5,High-Rate Quantum Key Distribution exceeding 110Mb/s,"Wei Li, Likang Zhang, Hao Tan, Yichen Lu, Sheng-Kai Liao, Jia Huang, Hao Li, Zhen Wang, Hao-Kun Mao, Bingze Yan, Qiong Li, Yang Liu, Qiang Zhang, Cheng-Zhi Peng, Lixing You, Feihu Xu, Jianwei Pan",Quantum Key Distribution,"High key rate, multi-pixel superconducting nanowire detector, low-error transmitter, fast post-processing algorithm","We report a quantum key distribution system that is able to generate key at a record high key rate of 115.8 Mb/s over 10-km standard fibre. This attributes to a high-efficiency multi-pixel superconducting nanowire detector, a low-error integrated transmitter, and a fast post-processing algorithm.",2022,0.825293183,0.100054175,0.074652635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25406001,0,0,0,0,0,0,0,0,0,0.295990636,0,0.295990636,0.161895999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224309757,0,0,0,0,0.295990636,0.295990636,0,0,0,0,0,0.295990636,0,0,0.295990636,0.201233668,0,0,0,0,0,0.012169822,0,0,0,0,0.28089701,0,0,0,0,0,0,0.295990636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242843998,0.259105579,0,0,0,0,0,0,1
6,Experimental cheat-sensitive quantum weak coin flipping,"Simon Neves, Verena Yacoub, Ulysse Chabaud, Mathieu Bozzio, Iordanis Kerenidis, Eleni Diamanti",Quantum Weak Coin Flipping,"Cheat sensitivity, weak coin flipping, heralded single photons, optical interferometer, high protocol benchmarks","As in modern communication networks, the security of quantum networks will rely on complex cryptographic tasks that are based on a handful of fundamental primitives. Weak coin flipping (WCF) is a significant such primitive which allows two mistrustful parties to agree on a random bit while they favor opposite outcomes. Remarkably, perfect information-theoretic security can be achieved in principle for quantum WCF, which is impossible for a classical coin flip without computational assumptions or trusting a third party. In this work, we overcome conceptual and practical issues that have prevented the experimental demonstration of this primitive to date, and demonstrate how quantum resources can provide cheat sensitivity, whereby each party can detect a cheating opponent, and an honest party is never sanctioned. Such a property is not known to be classically achievable with information-theoretic security. Our experiment implements a refined, loss-tolerant version of a recently proposed theoretical protocol and exploits heralded single photons generated by spontaneous parametric down-conversion, a carefully optimized linear optical interferometer including beam splitters with variable reflectivities and a fast optical switch for the verification step. High values of our protocol benchmarks are maintained for attenuation corresponding to several kilometers of telecom optical fiber.",2022,0.79388833,0.104387954,0.101723738,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421508008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556205958,0,0,0,0,0,0.378144954,0,0,0,0,0,0,0.286810058,0,0.022868721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477412708,0,0,0,0,0,0,0,0,0,0,0,0.243447003,0,0,0,0,0,0,1
7,Experimental Certification of Quantum Transmission via Bell's Theorem,"Simon Neves, Laura Dos Santos Martins, Verena Yacoub, Pascal Lefebvre, Ivan Supic, Damian Markham, Eleni Diamanti",Quantum Transmission Certification,"Certification of quantum transmission, device independent framework, practical implementation, robustness for realistic losses","Quantum transmission links are central elements in essentially all implementations of quantum information protocols. Emerging progress in quantum technologies involving such links needs to be accompanied by appropriate certification tools. In adversarial scenarios, a certification method can be vulnerable to attacks if too much trust is placed on the underlying system. Here, we propose a protocol in a device independent framework, which allows for the certification of practical quantum transmission links in scenarios where minimal assumptions are made about the functioning of the certification setup. We take in particular unavoidable transmission losses into account by modeling the link as a completely-positive trace-decreasing map. We also crucially remove the assumption of independent and identically distributed samples, which is known to be incompatible with adversarial settings. Finally, in view of the use of the certified transmitted states for follow-up applications, our protocol allows to estimate the quality of the state and does not certify the channel only. To illustrate the practical relevance and the feasibility of our protocol with currently available technology we provide an experimental implementation based on a state-of-the-art polarization entangled photon pair source in a Sagnac configuration and analyse its robustness for realistic losses and errors.",2022,0.11092265,0.106074058,0.783003271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203344453,0,0,0,0,0,0,0,0,0.268325617,0.203344453,0,0,0,0,0,0,0,0.268325617,0,0,0,0,0,0,0,0.230314073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016548538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268325617,0,0.804976851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Quantum Key Distribution Links between Mobile Platforms,"Andrew Conrad, Samantha Isaac, Roderick Cochran, Daniel Sanchez-Rosales, Timur Javid, Shuen Wu, Dan Gauthier, Paul Kwiat",Quantum Key Distribution,"QKD for mobile platforms, secure communication, modular design, drone and vehicle deployment, high-speed transmission","As the proliferation of automation in smart transportation continues, there is a need to secure communication links of Ã¢â‚¬Å“on-the-goÃ¢â‚¬Â future mobile platforms. In this effort, we implement decoy-state quantum key distribution (QKD), which provides provably secure communication, to mobile platforms such as drones and vehicles. Unlike demonstrations in fiber of fixed point-to-point, QKD between mobile platforms provides unique challenges such as designing systems with reduced size, weight, and power, establishing a stable line-of-sight as the platforms are in motion, and maintaining performance over a wide operating temperature range, etc. We design our QKD transmitter and receiver using a modular design that is platform-agnostic. This allows us to deploy the same QKD system on an octocopter drone and a car without any hardware or software modifications. We describe critical subsystems including our resonant-cavity QKD source, custom prepare and measure optics, pointing, acquisition, and tracking system, single-photon detector, field-programmable gate array-based time-tagger, and qubit-based time-synchronization algorithm. Our achievements include drone-to-drone QKD, drone-to-car quantum transmission, and high-speed (70 mph) vehicle-to-vehicle quantum transmission on a U.S. Interstate Highway.",2022,0.793025255,0.108306952,0.098667793,1,0,0,0,0,0,0,0,0,0.370730498,0,0,0,0,0,0,0.489201885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26757545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133787725,0,0,0.020113811,0,0,0,0,0,0,0,0.197829611,0,0,0.370730498,0,0,0,0,0,0,0,0.489201885,0,0,0,0,0,0,0.26757545,0.214119844,0,0,0,0,0,0,1
9,Entropy Accumulation under Post-Quantum Cryptographic Assumptions,"Ilya Merkulov, Rotem Arnon-Friedman",Post-Quantum Cryptography,"Device-independent protocols, computational assumption, entropic uncertainty relation, entropy accumulation theorem, flexible proof technique","In device-independent (DI) quantum protocols, the security statements are oblivious to the characterization of the quantum apparatusÃ¢â‚¬â€œ they are based solely on the classical interaction with the devices as well as some well-defined assumptions. The most commonly known setup is the so-called non-local one, in which two devices that cannot communicate with each other present a violation of a Bell inequality. In recent years, a new variant of DI protocols, requiring only a single device, arose. In this novel research avenue, the no-communication assumption is replaced with a computational assumption which states that the device cannot solve certain post-quantum cryptographic tasks. The protocols in literature that have been analyzed in this setting, e.g., randomness certification, used ad hoc proof techniques. In addition, the strength of the achieved results is hard to judge due to their complexity. Here, we build on ideas coming from the study of non-local DI protocols and develop a new modular proof technique for the single-device computational setting. We present a flexible framework for proving the security of such protocols by utilizing a combination of tools from quantum information theory, such as the entropic uncertainty relation and the entropy accumulation theorem. This leads to an insightful and simple proof of security as well as to explicit quantitative bounds. Our work thus acts as the basis for the analysis of future protocols for DI randomness generation, expansion, amplification, and key distribution based on post-quantum cryptographic assumptions.",2022,0.099958137,0.08932066,0.810721219,3,0,0,0,0,0,0.436917343,0,0,0,0,0,0.243510005,0,0,0,0,0,0.321326554,0,0,0.197990242,0,0,0,0,0.243510005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436917343,0,0.140642123,0,0.165693456,0,0.013211522,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321326554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Resource-efficient quantum key distribution with using integrated silicon photonics,"Kejin Wei, Xiao Hu, Yongqiang Du, Xin Hua, Zhengeng Zhao, Ye Chen, Chunfeng Huang, Xi Xiao",Quantum Key Distribution with Silicon Photonics,"Resource-efficient chip-based BB84 QKD, silicon-based encoder and decoder, no additional hardware required, low intrinsic QBER, high stability, secure key distribution at 866 bps","Integrated photonics provides a promising platform for quantum key distribution (QKD) system in terms of miniaturization, robustness and scalability. Tremendous QKD works based on integrated photonics have been reported. Nonetheless, most current chip-based QKD implementations require additional off-chip hardware to demodulate quantum states or perform auxiliary tasks such as time synchronization and polarization basis tracking. Here, we report a demonstration of resource-efficient chip-based BB84 QKD with a silicon-based encoder and decoder. In our scheme, the time synchronization and polarization compensation are implemented relying on the preparation and measurement of the quantum states generated by on-chip devices, thus no need additional hardware. The experimental tests show that our scheme is highly stable with a low intrinsic QBER of 0.50 Ã‚Â± 0.02% in a 6-h continuous run. Furthermore, over a commercial fiber channel up to 150 km, the system enables realizing secure key distribution at a rate of 866 bps. Our demonstration paves the way for low-cost, wafer-scale manufactured QKD system.",2024,0.854772031,0.076702118,0.068525843,1,0.244929563,0.244929563,0,0.244929563,0,0,0,0.333038066,0,0,0,0,0,0.210232351,0,0,0,0,0,0,0,0.244929563,0,0,0,0,0,0,0,0.200951203,0.420464702,0.210232351,0,0,0,0,0,0,0,0.244929563,0,0,0,0,0,0.166519033,0,0,0,0.185614287,0,0,0,0,0,0,0,0,0,0,0,0,0.333038066,0,0,0,0,0,0.066983734,0,0,0.010070417,0,0,0,0.210232351,0,0,0,0.099047697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200951203,0.107203757,0,0,0,0,0,0,1
