NoDTest,achiev,addit,algorithm,ani,appli,applic,arbitrari,assumpt,attack,base,basi,bound,build,channel,classic,commit,communic,comput,continu,cryptograph,demonstr,design,devic,distribut,due,effici,enabl,error,exist,experiment,finit,follow,framework,fulli,function,furthermor,general,generat,hard,hash,high,implement,includ,independ,inform,input,integr,introduc,key,km,limit,loss,low,mani,measur,method,model,onli,optic,pair,perform,phase,photon,possibl,post,practic,prepar,process,proof,propos,protocol,prove,provid,qkd,random,rate,receiv,requir,result,scale,scheme,secret,secur,set,show,singl,size,sourc,standard,state,system,techniqu,time,verif,verifi,version,weak,work,polynomi,construct,complex,develop,challeng,compar,cryptographi,field,entangl,transmiss,Words,DocWords
1,0,0.0661194,0,0,0.0911643,0,0,0,0.455822,0,0,0,0,0,0,0,0,0,0,0,0,0.217868,0,0.0377349,0,0,0,0,0,0.0911643,0.108934,0,0,0,0,0,0.142988,0.0565978,0,0,0,0.0838891,0.108934,0,0.142988,0,0,0,0.0631057,0,0,0,0,0.198825,0,0,0,0,0.326802,0,0,0.142988,0,0.108934,0,0.0911643,0,0,0.428227,0,0.226409,0,0,0.267631,0,0,0,0.0661194,0,0,0,0,0.315473,0,0.0631057,0,0.0838891,0,0.0838891,0,0,0.154762,0,0,0,0,0,0.0661194,0,0,0,0,0,0,0,0,0,0,"attack(0.456), proof(0.428), optic(0.327)","1: attack(0.456), proof(0.428), optic(0.327)"
2,0,0,0,0,0,0.105359,0,0,0,0.0513781,0,0,0,0.135355,0,0,0,0,0,0,0.154122,0,0,0.102756,0,0,0,0,0,0.124125,0.14832,0,0,0,0,0,0,0.077061,0,0,0,0,0,0,0,0,0,0,0.171844,0.676777,0.11422,0.14832,0.270711,0,0,0.14832,0,0,0.14832,0.135355,0,0.097343,0.18005,0,0,0.124125,0,0,0,0,0.102756,0,0,0.303661,0,0.0607323,0,0,0,0.124125,0,0,0.117146,0,0,0.105359,0.11422,0,0,0,0.0832935,0,0,0,0,0,0,0.0900252,0,0,0,0,0,0,0,0,0,0,"km(0.677), qkd(0.304), low(0.271)","2: km(0.677), qkd(0.304), low(0.271)"
3,0,0,0,0,0,0.100425,0,0,0.118313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979445,0.129017,0.100425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278354,0,0,0.118313,0,0,0,0,0.122848,0,0.108871,0,0,0,0,0.141374,0,0,0,0,0.236626,0.556709,0.0858097,0,0,0.236626,0,0,0.23818,0,0,0,0.18557,0.347331,0.0858097,0.0578884,0,0.0858097,0,0,0,0,0.260541,0,0,0,0,0.141374,0,0.146917,0.158787,0,0,0,0,0,0,0.0858097,0,0,0,0,0,0,0,0,0,0,"phase(0.557), qkd(0.347), high(0.278)","3: phase(0.557), qkd(0.347), high(0.278)"
4,0.0757802,0,0,0,0,0,0.320041,0,0,0.0369542,0.10668,0.213361,0,0,0,0,0,0,0.0973557,0,0.0554269,0,0.0599097,0.0739084,0.0973557,0.0757802,0,0,0,0,0.10668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1236,0,0.0821535,0,0,0,0,0,0,0,0,0,0,0.560119,0.129503,0.10668,0,0.0892783,0,0,0,0,0,0,0.0700149,0.174729,0.453261,0.0873645,0,0.0647515,0.0599097,0.0892783,0,0.213361,0.112344,0.0599097,0.0309001,0.0757802,0,0.213361,0,0.110863,0,0.15156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"phase(0.560), random(0.453), arbitrari(0.320)","4: phase(0.560), random(0.453), arbitrari(0.320)"
5,0,0,0.359775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18694,0,0.127783,0,0.255566,0,0,0,0,0,0,0,0,0,0.0934625,0,0,0.472245,0,0,0,0,0,0.164164,0,0.312628,0.164164,0,0,0.328328,0,0,0,0,0,0,0,0,0,0,0,0.27706,0,0,0.328328,0,0,0,0,0,0,0,0.220975,0,0,0,0,0,0,0,0,0,0,0,0,0.13853,0,0.101022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"high(0.472), algorithm(0.360), low(0.328)","5: high(0.472), algorithm(0.360), low(0.328)"
6,0.19227,0,0,0,0,0,0,0.0961352,0,0.0468803,0,0,0,0,0.14063,0,0.113259,0.0961352,0,0.123506,0.14063,0,0,0,0,0,0,0,0,0.226518,0,0,0,0,0,0,0,0.0703148,0,0,0.177642,0.10422,0.135335,0,0.177642,0,0,0,0,0,0,0.135335,0,0,0,0,0,0,0.541341,0,0,0,0.164288,0,0,0.113259,0,0,0,0.10422,0.140641,0,0.0888212,0,0.0821441,0,0,0,0,0,0,0,0.10689,0,0,0.19227,0,0,0,0,0,0,0,0.123506,0,0.123506,0.494024,0.0821441,0,0,0,0,0,0,0,0,0,0,"optic(0.541), weak(0.494), experiment(0.227)","6: optic(0.541), weak(0.494), experiment(0.227)"
7,0,0,0,0,0,0.100873,0,0.201746,0.118841,0.0491908,0,0,0,0.129593,0,0,0,0,0,0,0,0,0.159495,0.0491908,0,0,0,0.100873,0,0.237682,0,0.129593,0.237682,0,0.0931988,0,0,0,0,0,0,0.328071,0,0.356523,0.0931988,0,0,0,0,0,0,0.426016,0,0,0,0.142005,0.142005,0.0931988,0,0.129593,0,0,0.0861926,0,0,0.356523,0,0,0,0.109357,0.196763,0,0.0931988,0,0,0,0,0,0,0,0,0,0,0.0797475,0,0,0,0.142005,0,0.147572,0.0797475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"loss(0.426), independ(0.357), practic(0.357)","7: loss(0.426), independ(0.357), practic(0.357)"
8,0.0963493,0,0.135637,0.089019,0,0,0,0,0,0.0939693,0,0,0,0,0,0,0.340533,0,0.123781,0,0.0704714,0.542546,0,0.140954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178038,0.104452,0.271273,0,0,0,0,0,0.117862,0,0,0,0,0,0.076171,0,0,0,0.135637,0,0.113511,0,0.082327,0,0,0,0.135637,0,0,0,0,0,0.178038,0.388773,0,0,0.104452,0,0,0,0,0,0.107128,0,0,0.0963493,0.104452,0.135637,0,0.0469847,0.228513,0,0.120403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"design(0.543), qkd(0.389), communic(0.341)","8: design(0.543), qkd(0.389), communic(0.341)"
9,0.0741444,0.0633537,0,0,0,0,0,0.444866,0,0.0723129,0.104377,0.104377,0.087351,0,0.0542304,0,0.174702,0.222433,0,0.285762,0,0,0.410315,0.0361565,0.095254,0,0,0,0,0,0,0,0.087351,0,0,0,0,0.0542304,0.104377,0,0,0,0,0.174702,0.0685035,0,0,0,0.030233,0,0,0,0,0,0,0,0,0.0685035,0,0,0,0,0,0,0.32152,0,0,0,0.234466,0,0.253095,0.095254,0,0,0.126707,0,0,0.0633537,0.0586164,0,0,0,0.0824393,0.117233,0,0.148289,0,0,0,0.0361565,0,0.222433,0,0,0,0,0,0.0633537,0,0,0,0,0,0,0,0,0,0,"assumpt(0.445), devic(0.410), post(0.322)","9: assumpt(0.445), devic(0.410), post(0.322)"
10,0,0.221147,0,0,0,0,0,0,0,0.252421,0.121449,0,0,0.110834,0,0,0,0,0.110834,0,0.126201,0,0.0682037,0.210351,0,0.258814,0.121449,0,0,0.101638,0,0,0,0,0,0.121449,0,0.0631003,0,0,0.159416,0.187054,0,0,0,0,0.332501,0,0.17589,0.110834,0,0,0.332501,0,0.0682037,0,0,0,0,0,0.101638,0,0.294863,0,0,0,0.121449,0,0,0,0,0,0.0797078,0.298378,0,0.0497297,0,0.147432,0,0.101638,0.172543,0,0.0639487,0,0.0351779,0,0,0,0,0.0841404,0.204611,0,0.107809,0,0,0,0,0.0737158,0,0,0,0,0,0,0,0,0,0,"integr(0.333), low(0.333), qkd(0.298)","10: integr(0.333), low(0.333), qkd(0.298)"
11,0.192787,0.16473,0.135699,0.08906,0,0,0,0,0,0.282038,0,0,0,0,0,0,0,0,0.123838,0,0.0705038,0.271398,0.0762061,0.0940126,0.123838,0,0.135699,0.0963936,0,0.113563,0.271398,0,0,0.385574,0,0.135699,0,0,0,0,0,0,0,0.113563,0,0,0.123838,0,0.157222,0.123838,0,0,0.123838,0,0,0.135699,0,0.08906,0,0,0.113563,0,0.0823649,0,0,0.113563,0,0,0,0.104501,0.0470063,0,0,0.277823,0.0823649,0.166694,0,0.16473,0,0.113563,0,0.271398,0,0,0,0,0,0,0.104501,0.141019,0.0762061,0,0,0,0,0,0,0.0823649,0,0,0,0,0,0,0,0,0,0,"fulli(0.386), base(0.282), qkd(0.278)","11: fulli(0.386), base(0.282), qkd(0.278)"
12,0,0.140053,0,0,0,0,0,0,0,0,0,0,0,0.210574,0,0,0,0,0.526434,0,0,0,0,0.199823,0,0,0,0.0819538,0,0.193103,0,0,0.0965515,0,0,0,0.0757187,0,0,0,0,0,0,0,0,0,0,0,0.233922,0,0,0.115371,0,0,0,0,0,0,0,0,0,0.151437,0,0,0,0.0965515,0,0,0,0.177693,0.159859,0,0,0.377927,0,0.0944818,0,0.0700266,0,0,0.0819538,0,0,0,0.0668348,0,0,0.461485,0,0,0.129581,0,0,0,0,0,0,0.0700266,0,0,0,0,0,0,0,0,0,0,"continu(0.526), sourc(0.461), qkd(0.378)","12: continu(0.526), sourc(0.461), qkd(0.378)"
