NoDTest,achiev,appli,classic,coher,construct,demonstr,deploy,establish,exist,generat,implement,includ,introduc,km,length,link,network,number,practic,present,previous,provid,scheme,techniqu,time,applic,attack,base,communic,bound,channel,cryptographi,comput,cryptograph,devic,error,distribut,effici,entangl,general,function,independ,long,measur,loss,model,phase,photon,proof,qkd,protocol,random,rate,secur,state,system,singl,verif,key,high,adapt,amplif,arbitrari,assumpt,bb84,commit,compos,conjectur,detect,distanc,field,finit,iid,imperfect,improv,integr,issu,linear,local,lower,optim,presenc,privaci,pseudorandom,qrng,reduc,resourc,robust,scalabl,scale,scenario,secret,stabil,standard,strong,switch,tf,toler,twin,variabl,challeng,develop,studi,promis,show,approach,final,technolog,differ,requir,propos,design,optic,work,result,process,perform,experiment,low,transmiss,DocWords
1,0,0,0,0,0,0,0,0,0,0,0,0,0.102535,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0,0,0,0,0.180974,0,0,0,0,0,0,0.155587,0.155587,0,0,0,0,0,0,0,0,0,0,0.347198,0,0,0.140936,0.347198,0,0,0.412722,0,0,0,0,0.155587,0,0,0,0.622346,0.180974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc1: compos(0.622), verif(0.413), protocol(0.347)"
2,0,0,0,0,0,0.0742627,0.144064,0,0,0.343345,0.127385,0,0,0,0,0,0,0.25477,0,0.167571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167571,0,0,0.127385,0,0.284823,0,0,0,0.382155,0,0.0869986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432191,0,0,0,0,0,0,0,0,0.335141,0,0,0.335141,0.167571,0,0,0,0.167571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc2: integr(0.432), random(0.382), generat(0.343)"
3,0,0,0,0,0,0,0,0.176263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143737,0,0.199342,0,0,0,0,0.176263,0.131371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231868,0,0,0.231868,0,0,0,0.695605,0,0,0,0,0.463737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc3: resourc(0.696), secret(0.464), amplif(0.232)"
4,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0,0,0,0,0,0.135894,0,0,0.103305,0,0,0,0,0,0,0.38497,0,0,0.271788,0,0,0,0,0,0.350492,0,0.116831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103305,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0.135894,0.271788,0.679471,0,0,0,0,0,0,0.135894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc4: lower(0.679), bound(0.385), entangl(0.350)"
5,0,0,0,0,0,0,0,0,0.275731,0,0,0,0.0908563,0,0,0,0,0,0.137865,0,0,0.0994088,0,0,0.160361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160361,0,0.641444,0,0,0.0908563,0,0,0.307652,0,0.0834478,0.208139,0,0,0,0.243809,0,0,0.137865,0,0.137865,0,0,0,0,0,0.137865,0.160361,0,0,0,0,0,0,0.160361,0,0,0,0,0.160361,0,0,0,0.160361,0,0,0,0,0,0,0,0,0.160361,0,0,0.160361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc5: loss(0.641), protocol(0.308), exist(0.276)"
6,0,0,0,0,0,0,0,0.320879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438294,0,0,0,0,0,0,0,0,0,0,0,0,0.725784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc6: compos(0.726), secur(0.438), cryptograph(0.422)"
7,0,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.185968,0,0,0,0,0.185968,0,0,0,0.334163,0,0,0,0,0,0,0,0,0,0.138603,0,0,0,0,0,0,0,0,0,0,0.138603,0,0.159874,0,0,0,0.127008,0,0,0,0,0.108415,0,0,0,0,0,0,0,0,0,0,0,0.420633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489269,0.244634,0,0.489269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc7: switch(0.489), twin(0.489), field(0.421)"
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606073,0,0,0,0,0,0,0,0,0,0,0,0.136131,0,0,0,0,0,0,0,0,0,0.112928,0,0,0,0,0,0,0,0,0,0,0,0.408392,0.0651291,0.0955974,0,0.10372,0.155221,0,0,0,0,0.176664,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0.199317,0,0.171357,0,0,0,0,0,0,0,0.199317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc8: length(0.606), variabl(0.455), proof(0.408)"
9,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.341336,0,0,0,0.193013,0,0,0,0,0,0,0.170668,0.153335,0,0,0,0.224507,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0.224507,0,0.306671,0.220081,0,0,0,0.174838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449015,0,0,0.224507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224507,0,0,0,0,0,0,0,0,0.341336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc9: imperfect(0.449), length(0.341), variabl(0.341)"
10,0,0,0,0,0,0.297846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672078,0,0,0,0,0,0,0,0,0.380781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322345,0.459019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doc10: previous(0.672), system(0.459), bound(0.381)"
